Ingredient,Rating,Description,Categories,Further information
"algin",Good,"Brown algae.","Antioxidants, Plant Extracts, Thickeners/Emulsifiers, Emollients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antioxidants/algin
"aliphatic hydrocarbon",Good,"Hydrocarbon contained in natural gas and mineral oils. It is a synthetic fluid with varying...","Slip Agents",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/slip-agents/aliphatic-hydrocarbon
"alkaline",Poor,"Anything with a pH higher than 7 is alkaline; a pH below 7 is acidic. Water has a pH of 7; skin has...","Miscellaneous",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/miscellaneous/alkaline
"alkyloamides",Average,"Identified on skin-care product labels as DEA, triethanolamine (TEA), and monoethanolamine (MEA),...","Thickeners/Emulsifiers",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/thickeners-emulsifiers/alkyloamides
"all-trans retinoic acid",Best,"Active ingredient in Retin-A and Renova.","Prescription Drugs, Cell-Communicating Ingredients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/prescription-drugs/all-trans-retinoic-acid
"allantoin",Best,"By-product of uric acid extracted from urea and considered an effective anti-irritant.","Anti-Irritants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/anti-irritants/allantoin
"allyl methacrylates crosspolymer",Good,"A synthetic, non-aqueous polymer whose chief function is film-forming agent.","Film-Forming/Holding Agents",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/film-forming-holding-agents/allyl-methacrylates-crosspolymer
"almond oil",Best,"Non-volatile oil extracted from the seeds of almonds and used as an emollient.","Emollients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/emollients/almond-oil
"Aloe barbadensis",Good,"See aloe vera","Anti-Irritants, Plant Extracts",
"aloe barbadensis leaf juice extract",Good,"See aloe vera","Anti-Irritants, Plant Extracts",
"aloe barbadensis leaf juice powder",Good,"This form of aloe is the powder form of the aloe barbadensis leaf plant...","Plant Extracts",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/plant-extracts/aloe-barbadensis-leaf-juice-powder
"aloe extract",Good,"See aloe vera","Anti-Irritants, Plant Extracts",
"aloe juice",Good,"See aloe vera","Anti-Irritants, Plant Extracts",
"aloe vera",Good,"There is no real evidence that aloe vera (Aloe barbadenis) helps the skin in any significant way....","Anti-Irritants, Plant Extracts",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/anti-irritants/aloe-vera
"alpha bisabolol",Best,"See bisabolol","Anti-Irritants, Plant Extracts",
"alpha glucan oligosaccharide",Best,"Emollient used in cosmetics that also has water-binding properties.","Emollients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/emollients/alpha-glucan-oligosaccharide
"alpha hydroxy acid",Best,"See AHA","Leave-On Exfoliant",
"alpha isomethyl ionone",Poor,"Alpha isomethyl ionone is a fragrance ingredient that must be listed on products that contain it due to its risk of causing a sensitized reaction.","Fragrance: Synthetic and Fragrant Plant Extracts",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/fragrance-synthetic-and-plant-extracts/alpha-isomethyl-ionone
"alpha lipoic acid",Best,"Enzyme that, when applied topically on skin, appears to be a very good antioxidant. Taken...","Antioxidants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antioxidants/alpha-lipoic-acid
"alpha-tocopherol",Best,"See vitamin E","Antioxidants, Vitamins",
"Alteromonas ferment extract",Good,"Alteromonas is a gram-negative bacteria found in deep areas of seawater. Due to its polysaccharide...","Plant Extracts",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/plant-extracts/alteromonas-ferment-extract
"Althaea rosea",Good,"See mallow","Anti-Irritants, Plant Extracts, Thickeners/Emulsifiers",
"Althea officinalis",Good,"Latin name for the marshmallow plant.","Anti-Irritants, Plant Extracts, Thickeners/Emulsifiers",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/anti-irritants/althea-officinalis
"alumina",Good,"Aluminum oxide, which is used as an abrasive, a thickening agent, and an absorbent in cosmetics.","Thickeners/Emulsifiers, Absorbent, Scrub Agents",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/thickeners-emulsifiers/alumina
"aluminum chlorohydrate",Average,"Chemically a salt, and used in antiperspirants, it can be extremely irritating on abraded skin. In...","Absorbent",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/absorbent/aluminum-chlorohydrate
"Aluminum hydroxide",Good,"A synthetic ingredient that functions as an opacifying agent and skin protectant. Secondary uses...","Thickeners/Emulsifiers, Absorbent",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/thickeners-emulsifiers/aluminum-hydroxide
"aluminum magnesium silicate",Good,"Salt that has absorbent properties.","Absorbent",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/absorbent/aluminum-magnesium-silicate
"aluminum powder",Good,"Metallic element used as a coloring agent. It is composed of finely ground particles of aluminum....","Coloring Agents/Pigments",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/coloring-agents-pigments/aluminum-powder
"aluminum silicate",Good,"Salt that has absorbent and abrasive properties.","Absorbent, Scrub Agents",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/absorbent/aluminum-silicate
"aluminum starch octenylsuccinate",Good,"Powdery thickening agent, absorbent, and anticaking agent used in cosmetics.","Thickeners/Emulsifiers, Absorbent",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/thickeners-emulsifiers/aluminum-starch-octenylsuccinate
"aluminum stearate",Good,"The aluminum salt of stearic acid that functions as a thickening agent and helps stabilize products.","Thickeners/Emulsifiers",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/thickeners-emulsifiers/aluminum-stearate
"aluminum sulfate",Poor,"Topical disinfectant and typical ingredient in deodorants. It can be a skin irritant.","Absorbent, Antibacterial/Anti-Acne",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/absorbent/aluminum-sulfate
"amino acid",Good,"Fundamental constituents of all proteins found in the body, such as: alanine, arginine, asparagine,...","Antioxidants, Skin-Identical/Repairing Ingredients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antioxidants/amino-acid
"aminobutyric acid",Average,"Amino acid that has water-binding properties for skin and may be an anti-inflammatory. It...","Anti-Irritants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/anti-irritants/aminobutyric-acid
"aminomethyl propanediol",Good,"Used to adjust pH in cosmetics.","Miscellaneous",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/miscellaneous/aminomethyl-propanediol
"aminomethyl propanol",Good,"Used in cosmetics at concentrations of 1% or less to adjust pH.","Miscellaneous",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/miscellaneous/aminomethyl-propanol
"aminophylline",Average,"Pharmaceutical ingredient present in prescription bronchodilators (medications designed to open...","Prescription Drugs",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/prescription-drugs/aminophylline
"ammonium acryloyldimethyltaurate/VP copolymer",Good,"A synthetic polymer and film-forming agent that also serves to thicken cosmetic formulas...","Thickeners",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/ammonium-acryloyldimethyltaurate-VP-copolymer
"ammonium chloride",Poor,"Alkaline salt used as a pH balancer in skin-care products; it is not used in concentrations that...","Absorbent",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/absorbent/ammonium-chloride
"ammonium glycolate",Best,"Synthetic form of glycolic acid used as a pH adjuster and exfoliant. It is sometimes paired with...","Leave-On Exfoliant",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/leave-on-exfoliant/ammonium-glycolate
"ammonium hydroxide",Average,"Clear, colorless liquid used in cosmetics to adjust a product's pH level. Ammonium hydroxide is...","Miscellaneous",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/miscellaneous/ammonium-hydroxide
"ammonium laureth sulfate",Good,"Can be derived from coconut; used primarily as a detergent cleansing agent and is considered gentle...","Surfactants/Detergent Cleansing Agents",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/surfactants-detergent-cleansing-agents/ammonium-laureth-sulfate
"ammonium lauryl sulfate",Good,"Can be derived from coconut; used primarily as a detergent cleansing agent and is considered gentle...","Surfactants/Detergent Cleansing Agents",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/surfactants-detergent-cleansing-agents/ammonium-lauryl-sulfate
"amniotic extract or fluid",Average,"There is research showing that pure concentrations of amniotic fluid (human) have some benefit for...","Miscellaneous",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/miscellaneous/amniotic-extract-or-fluid
"amodimethicone",Good,"See silicone","Silicones, Slip Agents, Emollients",
"amygdalic acid",Good,"See mandelic acid","Leave-On Exfoliant, Antibacterial/Anti-Acne",
"amyl cinnamate",Poor,"Fragrant component.","Fragrance: Synthetic and Fragrant Plant Extracts",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/fragrance-synthetic-and-plant-extracts/amyl-cinnamate
"amyl salicylate",Poor,"Fragrant component.","Fragrance: Synthetic and Fragrant Plant Extracts",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/fragrance-synthetic-and-plant-extracts/amyl-salicylate
"amyris oil",Poor,"Fragrant oil. It has no other known benefit for skin.","Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/plant-extracts/amyris-oil
"Anacyclus pyrethrum",Poor,"See pellitory","Plant Extracts",
"Anacystis nidulans extract",Good,"See algae","Antioxidants, Plant Extracts, Thickeners/Emulsifiers, Emollients",
"Ananas sativus fruit extract",Average,"See pineapple extract","Plant Extracts, Leave-On Exfoliant",
"andiroba oil",Good,"Extracted from the Brazilian mahogany tree; it has anti-inflammatory properties (Source:...","Anti-Irritants, Plant Extracts",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/anti-irritants/andiroba-oil
"Anethum graveolens",Average,"See dill extract","Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts",
"Angelica archangelica root oil",Poor,"Volatile oil obtained from the angelica plant. The oil contains chemical constituents that can be...","Antioxidants, Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antioxidants/angelica-archangelica-root-oil
"Angelica polymorpha sinensis root extract",Poor,"See dong quai","Antioxidants, Plant Extracts",
"anisaldehyde",Poor,"Synthetic fragrance used in cosmetics.","Fragrance: Synthetic and Fragrant Plant Extracts",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/fragrance-synthetic-and-plant-extracts/anisaldehyde
"anise",Poor,"Also known as aniseed, it can have potent antioxidant and antibacterial properties (Source:...","Antioxidants, Fragrance: Synthetic and Fragrant Plant Extracts, Antibacterial/Anti-Acne, Irritants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antioxidants/anise
"annato extract",Good,"Natural plant colorant derived from the flesh surrounding the seed of Bixa orellana, a shrub native...","Plant Extracts",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/plant-extracts/annato-extract
"Anthemis nobilis flower extract",Best,"See chamomile","Anti-Irritants, Antioxidants, Antibacterial/Anti-Acne",
"anthocyanin",Best,"Group of naturally occurring substances found in plants that give fruits, vegetables, and plants...","Antioxidants, Plant Extracts",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antioxidants/anthocyanin
"anti-inflammatory",Best,"Any ingredient that reduces certain signs of inflammation, such as swelling, tenderness, pain,...","Anti-Irritants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/anti-irritants/anti-inflammatory
"anti-irritant",Best,"Any ingredient that reduces certain signs of inflammation, such as swelling, tenderness, pain,...","Anti-Irritants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/anti-irritants/anti-irritant
"antibacterial",Good,"Any ingredient that destroys or inhibits the growth of bacteria; in the case of skin-care products,...","Antibacterial/Anti-Acne",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antibacterial-anti-acne/antibacterial
"antioxidant",Best,"General term for a large group of natural and synthetic ingredients that work to reduce...","Antioxidants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antioxidants/antioxidant
"apple fruit extract",Best,"General name for various types of apples, all of which have potent antioxidant ability that, at least in theory, can benefit skin when applied topically.","Antioxidants, Plant Extracts",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antioxidants/apple-fruit-extract
"apricot kernel",Average,"Often used as an abrasive agent in so-called ""natural"" scrubs. Apricot kernals have irregular and...","Scrub Agents",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/scrub-agents/apricot-kernel
"apricot kernel oil",Best,"Emollient plant oil pressed from the seeds of apricots, and similar to other nonfragrant plant oils.","Plant Extracts, Emollients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/plant-extracts/apricot-kernel-oil
"aquaporins",Best,"Group of 13 different cellular membrane proteins that form water channels in living things to...","Skin-Identical/Repairing Ingredients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/skin-identical-ingredients/aquaporin
"arachidic acid",Good,"Derived from peanut oil and used as an emollient and thickening agent in cosmetics.","Thickeners/Emulsifiers, Emollients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/thickeners-emulsifiers/arachidic-acid
"arachidonic acid",Average,"Produced from phospholipids and fatty acids. There is research showing that this is potentially...","Thickeners/Emulsifiers, Emollients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/thickeners-emulsifiers/arachidonic-acid
"arachidyl alcohol",Good,"Waxy substance used as a thickening agent and emollient in cosmetics.","Thickeners/Emulsifiers, Emollients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/thickeners-emulsifiers/arachidyl-alcohol
"arachidyl glucoside",Good,"A mild surfactant (cleansing) and emulsifying agent, made from...","Surfactants/Detergent Cleansing Agents",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/surfactants-detergent-cleansing-agents/arachidyl-glucoside
"arachidyl propionate",Good,"Waxy substance used as a thickening agent and emollient in cosmetics.","Thickeners/Emulsifiers, Emollients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/thickeners-emulsifiers/arachidyl-propionate
"Arachis hypogaea extract",Best,"Extract of the plant commonly known as the peanut. It can have emollient and anti-inflammatory...","Anti-Irritants, Plant Extracts, Emollients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/anti-irritants/arachis-hypogaea-extract
"arbutin",Best,"Hydroquinone derivative isolated from the leaves of the bearberry shrub, cranberry, blueberry, some...","Plant Extracts",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/plant-extracts/arbutin
"Arctium lappa",Best,"See burdock root","Anti-Irritants, Antioxidants, Plant Extracts",
"Arctostaphylos uva ursi leaf",Best,"See bearberry extract","Antioxidants, Plant Extracts, Antibacterial/Anti-Acne",
"argan oil",Best,"","Antioxidants, Plant Extracts, Emollients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antioxidants/argan-oil
"Argania spinosa",Best,"See argan oil","Antioxidants, Plant Extracts, Vitamins",
"arginine",Good,"Amino acid that has antioxidant properties and can be helpful for wound healing (Sources: Journal...","Antioxidants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antioxidants/arginine
"Argireline",Average,"See acetyl hexapeptide-8","Cell-Communicating Ingredients",
"arnica extract",Poor,"Extract from the plant Arnica montana. There is research showing that when arnica is taken orally...","Plant Extracts",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/plant-extracts/arnica-extract
"aroma/flavor",Average,"Seeing ""aroma/flavor"" on an ingredient list can be either good or bad. For example, if the aroma or flavor comes from mint....","Miscellaneous, Fragrance: Synthetic and Fragrant Plant Extracts",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/miscellaneous/aroma-flavor
"arrowroot",Average,"Thickening agent; it has no known benefit for skin.","Thickeners/Emulsifiers",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/thickeners-emulsifiers/arrowroot
"artemia extract",Good,"See algae","Antioxidants, Plant Extracts, Thickeners/Emulsifiers, Emollients",
"Artemisia absinthium extract",Average,"See mugwort extract","Plant Extracts",
"Artemisia vulgaris",Average,"See mugwort extract","Plant Extracts",
"Ascophyllum nodosum",Good,"Species of seaweed.","Antioxidants, Plant Extracts, Thickeners/Emulsifiers, Emollients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antioxidants/ascophyllum-nodosum
"ascorbic acid",Best,"Form of vitamin C that has antioxidant properties (Sources: Advances in Experimental Medicine and...","Antioxidants, Vitamins",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antioxidants/ascorbic-acid
